,title,period,place,rate,price,link
0,JX 2024 CONCERT < IDENTITY > in Seoul,2024.11.08 - 2024.11.10,KSPO DOME,5.10%,"[165000, 154000, 143000, 143000]",https://www.ticketlink.co.kr/product/52132
1,잔나비 콘서트 < 판타스틱 올드 패션드 2024 : MOVIE STAR RISING > - 서울,2024.08.31 - 2024.09.08,잠실실내체육관,4.41%,"[178000, 178000, 158000, 128000, 88000]",https://www.ticketlink.co.kr/product/51059
2,INFINITE 15TH ANNIVERSARY CONCERT : LIMITED EDITION,2024.12.06 - 2024.12.08,KSPO DOME,3.81%,[165000],https://www.ticketlink.co.kr/product/52808
3,YUURI ARENA LIVE 2025 at SEOUL,2025.05.03 - 2025.05.04,KSPO DOME,2.87%,"[135000, 135000]",https://www.ticketlink.co.kr/product/53163
4,[20집 발매 기념 조용필&위대한탄생 Concert - 서울],2024.11.23 - 2024.12.01,KSPO DOME,2.74%,"[176000, 165000, 143000, 110000]",https://www.ticketlink.co.kr/product/52606
5,Best of Fujii Kaze 2020-2024 ASIA TOUR in SEOUL,2024.12.14 - 2024.12.14,고척스카이돔,2.48%,"[187000, 176000, 165000, 143000, 121000]",https://www.ticketlink.co.kr/product/52025
6,"YOASOBI ASIA TOUR 2024-2025 ""초현실 / cho-genjitsu""",2024.12.07 - 2024.12.08,인스파이어 아레나,2.26%,"[135000, 135000]",https://www.ticketlink.co.kr/product/51651
7,2024 SKY FESTIVAL,2024.11.09 - 2024.11.10,인스파이어 아레나,2.12%,"[10000, 10000]",https://www.ticketlink.co.kr/product/52470
8,2024 파워풀 K-트로트 페스티벌,2024.05.25 - 2024.05.25,대구스타디움(대구월드컵경기장),1.83%,[5000],https://www.ticketlink.co.kr/product/49941
9,"2024 DOYOUNG CONCERT [ Dear Youth, ]",2024.05.25 - 2024.05.27,경희대학교 평화의전당,1.79%,"[198000, 154000, 154000]",https://www.ticketlink.co.kr/product/49744
10,XIA 2024 ENCORE CONCERT Chapter 1 : Recreation,2024.04.27 - 2024.04.28,잠실실내체육관,1.77%,"[165000, 154000, 121000, 99000]",https://www.ticketlink.co.kr/product/49077
11,워터밤 서울 2024,2024.07.05 - 2024.07.07,KINTEX 야외 글로벌 스테이지(KINTEX 제2전시장),1.56%,"[154000, 154000, 154000, 154000, 154000, 154000]",https://www.ticketlink.co.kr/product/47528
12,제30회 드림콘서트,2024.10.19 - 2024.10.19,고양종합운동장,1.35%,[22000],https://www.ticketlink.co.kr/product/52169
13,LILPACON : Going Out - SOOPER CONCERT,2024.07.12 - 2024.07.13,경희대학교 평화의전당,1.28%,"[165000, 99000, 77000, 77000]",https://www.ticketlink.co.kr/product/50487
